activity,sector,org,adm1_name,adm1_pcode,adm2_name,adm2_pcode,adm3_name,adm3_pcode,reached,activity_count,basis,data_date,period_from,period_to,schema_version
#activity,#sector,#org,#adm1,#adm1+code,#adm2,#adm2+code,#adm3,#adm3+code,#reached,#activity+count,#meta+basis,#date,#date+start,#date+end,#meta+version
MHPSS activities,Protection - MHPSS,MHPSS Sector,Bagmati,NP03,Nuwakot,NP0328,Bidur Municipality,NP0328301,3165,101,"People reached with MHPSS activities, as the source reports it, counted once per location (max per location). NON-ADDITIVE: never sum across rows, dimensions or organisations; cross-dimension sums disagree by design.",2026-09-19,2026-08-26,2026-09-19,1
MHPSS activities,Protection - MHPSS,MHPSS Sector,Bagmati,NP03,Nuwakot,NP0328,Belkotgadhi Municipality,NP0328302,651,19,"People reached with MHPSS activities, as the source reports it, counted once per location (max per location). NON-ADDITIVE: never sum across rows, dimensions or organisations; cross-dimension sums disagree by design.",2026-09-19,2026-08-26,2026-09-19,1
MHPSS activities,Protection - MHPSS,MHPSS Sector,Bagmati,NP03,Nuwakot,NP0328,Kispang Gaunpalika,NP0328402,250,7,"People reached with MHPSS activities, as the source reports it, counted once per location (max per location). NON-ADDITIVE: never sum across rows, dimensions or organisations; cross-dimension sums disagree by design.",2026-09-19,2026-08-26,2026-09-19,1
MHPSS activities,Protection - MHPSS,MHPSS Sector,Bagmati,NP03,Rasuwa,NP0329,Aamachhodingmo Gaunpalika,NP0329401,16,2,"People reached with MHPSS activities, as the source reports it, counted once per location (max per location). NON-ADDITIVE: never sum across rows, dimensions or organisations; cross-dimension sums disagree by design.",2026-09-19,2026-08-26,2026-09-19,1
MHPSS activities,Protection - MHPSS,MHPSS Sector,Bagmati,NP03,Rasuwa,NP0329,Gosaikunda Gaunpalika,NP0329402,532,21,"People reached with MHPSS activities, as the source reports it, counted once per location (max per location). NON-ADDITIVE: never sum across rows, dimensions or organisations; cross-dimension sums disagree by design.",2026-09-19,2026-08-26,2026-09-19,1
MHPSS activities,Protection - MHPSS,MHPSS Sector,Bagmati,NP03,Rasuwa,NP0329,Uttargaya Gaunpalika,NP0329403,390,34,"People reached with MHPSS activities, as the source reports it, counted once per location (max per location). NON-ADDITIVE: never sum across rows, dimensions or organisations; cross-dimension sums disagree by design.",2026-09-19,2026-08-26,2026-09-19,1
MHPSS activities,Protection - MHPSS,MHPSS Sector,Bagmati,NP03,Rasuwa,NP0329,Kalika Gaunpalika,NP0329404,314,7,"People reached with MHPSS activities, as the source reports it, counted once per location (max per location). NON-ADDITIVE: never sum across rows, dimensions or organisations; cross-dimension sums disagree by design.",2026-09-19,2026-08-26,2026-09-19,1
MHPSS activities,Protection - MHPSS,MHPSS Sector,Bagmati,NP03,Dhading,NP0330,Benighat Rorang Gaunpalika,NP0330408,118,6,"People reached with MHPSS activities, as the source reports it, counted once per location (max per location). NON-ADDITIVE: never sum across rows, dimensions or organisations; cross-dimension sums disagree by design.",2026-09-19,2026-08-26,2026-09-19,1
MHPSS activities,Protection - MHPSS,MHPSS Sector,Bagmati,NP03,Dhading,NP0330,Gajuri Gaunpalika,NP0330409,177,12,"People reached with MHPSS activities, as the source reports it, counted once per location (max per location). NON-ADDITIVE: never sum across rows, dimensions or organisations; cross-dimension sums disagree by design.",2026-09-19,2026-08-26,2026-09-19,1
MHPSS activities,Protection - MHPSS,MHPSS Sector,Bagmati,NP03,Dhading,NP0330,Galchhi Gaunpalika,NP0330410,217,18,"People reached with MHPSS activities, as the source reports it, counted once per location (max per location). NON-ADDITIVE: never sum across rows, dimensions or organisations; cross-dimension sums disagree by design.",2026-09-19,2026-08-26,2026-09-19,1
